La durée moyenne de sommeil d'un chat domestique est :;20 heures;10 heures;15 heures;10 heures
La principale source d'alimentation des koalas est :;Fruits;Herbe;Feuilles d'eucalyptus;Feuilles d'eucalyptus
La vitesse maximale d'un guépard est :;90 km/h;110 km/h;70 km/h;110 km/h
La longueur moyenne du cou d'une girafe adulte est :;3 mètres;1 mètre;2 mètres;2 mètres
Quel est le nom du fleuve qui traverse Paris ?;La Seine;La Loire;Le Rhône;La Seine
Quelle est la population de la France ?;70,0 millions d'habitants;68,0 millions d'habitants;67,75 millions d'habitants;67,75 millions d'habitants
Qui étaient les premiers humains connus, souvent appelés les ancêtres des gens d'aujourd'hui ?;Néandertaliens;Australopithèques;Homo sapiens;Homo sapiens
Qu'est-ce qui a été inventé par les anciens Égyptiens pour enregistrer des informations et des histoires ?;Téléphone;Hiéroglyphes;Ordinateur;Hiéroglyphes
Quel événement a marqué le début de l'histoire enregistrée ?;Invention de l'écriture;Découverte du feu;L'an 0;Invention de l'écriture
Quel est le muscle principal du corps humain ?;Biceps;Cœur;Quadriceps;Cœur
Qu'est-ce que les plantes utilisent en plus du soleil pour produire de la nourriture ?;Oxygène;Dioxyde de carbone;Azote;Dioxyde de carbone
Le nombre de cœurs qu'un poulpe possède est :;1;8;3;8
Quel est le nom du massif montagneux situé à la frontière entre la France et l'Espagne ?;Le Jura;Les Alpes;Les Pyrénées;Les Pyrénées
Quelle planète est la plus éloignée du soleil dans notre système solaire ?;Uranus;Pluton;Neptune;Neptune
En peinture, quelle couleur obtient-on si on mélange du cyan et du jaune ?;Vert;Violet;Orange;Vert
En peinture, dans quel catégorie de couleur est le cyan ?;Primaire;Secondaire;Tertiaire;Primaire
Quel pays possède la plus grande superficie au monde ?;Canada;États-Unis;Russie;Russie
Les poules sont des :;vivipares;ovivipares;ovipares;ovipares
Le diamant est essentiellement constitué de :;Silicium;Carbone;Nitrate;Carbone
Les pommes de terre sont des :;Féculents;Protéines;Fruits;Féculents
Les hippopotames sont des :;Carnivores;Herbivores;Omnivores;Herbivores
Quelle est la capitale de l'Autriche ?;Varsovie;Vienne;Kiev;Vienne
Quelle est la capitale de la Suisse ?;Berne;Zurich;Genève;Berne
De quelle famille appartient le panda ?;Les canidés;Les félins;Les ursidés;Les ursidés
Qui a été le premier président de la Cinquième République française ?;François Mitterrand;Charles de Gaulle;Valéry Giscard d'Estaing;Charles de Gaulle
En quelle année l’homme a-t-il marché sur la Lune pour la première fois ?;1965;1969;1971;1969
Quelle reine d'Égypte était célèbre pour sa relation avec Jules César et Marc Antoine ?;Néfertiti;Hatshepsout;Cléopâtre;Cléopâtre
Quel est le plus long fleuve du monde ?;Le Nil;L'Amazone;Le Yangtsé;L'Amazone
Quelle ville est la capitale de l’Australie ?;Sydney;Canberra;Melbourne;Canberra
Quel scientifique a découvert la radioactivité ?;Albert Einstein;Marie Curie;Isaac Newton;Marie Curie
Quel dinosaure est connu pour sa taille gigantesque et son long cou ?;Tyrannosaure;Diplodocus;Tricératops;Diplodocus
Qui est le réalisateur de Titanic ?;James Cameron;Steven Spielberg;Ridley Scott;James Cameron
Dans quel film Arnold Schwarzenegger joue-t-il le rôle d'un robot tueur ?;RoboCop;Terminator;Total Recall;Terminator
Quel groupe britannique a composé la chanson Bohemian Rhapsody ?;The Beatles;Queen;Pink Floyd;Queen
Quel artiste a chanté Thriller en 1982 ?;Michael Jackson;Prince;Lionel Richie;Michael Jackson
Quel est le langage de programmation principalement utilisé pour le développement d'applications Android ?;Java;Python;Swift;Java
